AID,StartMonth,EndMonth,Status,D_ม.ค.69,D_ก.พ.69,D_มี.ค.69,D_เม.ย.69,D_พ.ค.69,D_มิ.ย.69,D_ก.ค.69,D_ส.ค.69,D_ก.ย.69,D_ต.ค.69,D_พ.ย.69,D_ธ.ค.69,D_ม.ค.70,D_ก.พ.70,D_มี.ค.70,Note
1-01,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-02,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-03,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-04,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-05,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-06,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-07,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-08,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-09,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
1-10,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-01,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-02,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-03,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-04,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-05,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
2-06,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-01,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-02,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-03,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-04,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-05,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
3-06,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-01,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-02,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-03,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-04,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-05,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
4-06,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-01,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-02,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-03,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-04,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-05,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
5-06,,,ยังไม่เริ่ม,,,,,,,,,,,,,,,,
