"AID","Step","Activity","Resp","StartMonth","EndMonth","Status","Note"
"1-01","ขั้นที่ 1","1.1 รวบรวม ศึกษา วิเคราะห์กฎหมาย กฎ ระเบียบที่สำคัญที่เกี่ยวข้องกับการดำเนินงาน","ทุกหน่วยงาน","ม.ค.69","พ.ค.69","เสร็จสิ้น","ทดสอบ"
"1-02","ขั้นที่ 1","- มติคณะรัฐมนตรี / ราชกิจจานุเบกษา","ฝบส. / ฝกม. / ฝผก.","เม.ย.69","มิ.ย.69","กำลังดำเนินการ","ทดสอบ"
"1-03","ขั้นที่ 1","- กฎหมาย กฎ ระเบียบที่ปรับปรุงหรือเป็นเรื่องใหม่ รวมทั้งมาตรฐานการปฏิบัติงานที่เกี่ยวข้อง","ฝกม. / ทุกหน่วยงาน","พ.ย.69","ม.ค.70","กำลังดำเนินการ","ทดสอบ"
"1-04","ขั้นที่ 1","- นโยบายของภาครัฐ และหน่วยงานกำกับที่เกี่ยวข้องกับการปฏิบัติงาน","ฝบส. / ฝกม. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-05","ขั้นที่ 1","1.2 ปรับปรุงทะเบียนกฎหมาย กฎ ระเบียบที่สำคัญที่เกี่ยวข้องกับการดำเนินงาน (Compliance Universe)","ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-06","ขั้นที่ 1","1.2.1 รายการกฎหมาย กฎ ระเบียบที่สำคัญ (Law and Regulation Lists)","ฝบส. / ฝกม. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-07","ขั้นที่ 1","1.2.2 รายการใบขออนุญาต/ใบรับรอง (License/Certificate Lists)","ฝบส. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-08","ขั้นที่ 1","1.2.3 รายงานภาครัฐที่หน่วยงานต้องจัดทำและนำส่งภายในเวลาที่กำหนด (Regulatory Reports)","ฝบส. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-09","ขั้นที่ 1","1.2.4 ข้อสั่งการของหน่วยงานกำกับ ข้อเสนอแนะของคณะกรรมการที่เกี่ยวข้อง (Regulatory Letters)","ฝบส. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"1-10","ขั้นที่ 1","1.3 ปรับปรุงระเบียบ ข้อบังคับ คำสั่ง นโยบาย มาตรฐานการปฏิบัติงานให้สอดคล้องกับกฎหมาย กฎ ระเบียบที่เกี่ยวข้องที่ปรับปรุงหรือเป็นเรื่องใหม่","ฝกม. / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
